ErpStoreId,ErpPersonId,Company,JobTitle,FirstName,LastName,EmailAddress,PhoneNumber,ContactOwner,ContactType,LifecycleStage
292,291,Next-Door Bike Store,Owner,Gustavo,Achong,gustavo0@adventure-works.com,398-555-0132,Contact Owner,Reseller,Customer
294,293,Professional Sales and Service,Owner,Catherine,Abel,catherine0@adventure-works.com,747-555-0171,Contact Owner,Reseller,Customer
296,295,Riders Company,Owner,Kim,Abercrombie,kim2@adventure-works.com,334-555-0137,Contact Owner,Reseller,Customer
298,297,The Bike Mechanics,Owner,Humberto,Acevedo,humberto0@adventure-works.com,599-555-0127,Contact Owner,Reseller,Customer
300,299,Nationwide Supply,Owner,Pilar,Ackerman,pilar1@adventure-works.com,1 (11) 500 555-0132,Contact Owner,Reseller,Customer
302,301,Area Bike Accessories,Owner,Frances,Adams,frances0@adventure-works.com,991-555-0183,Contact Owner,Reseller,Customer
304,303,Bicycle Accessories and Kits,Owner,Margaret,Smith,margaret0@adventure-works.com,959-555-0151,Contact Owner,Reseller,Customer
306,305,Clamps & Brackets Co.,Owner,Carla,Adams,carla0@adventure-works.com,107-555-0138,Contact Owner,Reseller,Customer
308,307,Valley Bicycle Specialists,Purchasing Agent,Jay,Adams,jay1@adventure-works.com,158-555-0142,Contact Owner,Reseller,Customer
310,309,New Bikes Company,Purchasing Agent,Ronald,Adina,ronald0@adventure-works.com,453-555-0165,Contact Owner,Reseller,Customer
312,311,Vinyl and Plastic Goods Corporation,Purchasing Agent,Samuel,Agcaoili,samuel0@adventure-works.com,554-555-0110,Contact Owner,Reseller,Customer
314,313,Top of the Line Bikes,Purchasing Agent,James,Aguilar,james2@adventure-works.com,1 (11) 500 555-0198,Contact Owner,Reseller,Customer
316,315,Fun Toys and Bikes,Owner,Robert,Ahlering,robert1@adventure-works.com,678-555-0175,Contact Owner,Reseller,Customer
318,317,Great Bikes ,Owner,François,Ferrier,françois1@adventure-works.com,571-555-0128,Contact Owner,Reseller,Customer
